x,y,species cloglog values
1.0,1.0,0.011381098
2.0,2.0,0.018055683
3.0,3.0,0.0027462614
4.0,4.0,0.6684142
5.0,5.0,0.0108585125
6.0,6.0,0.08407834
7.0,7.0,0.012167511
8.0,8.0,0.013074087
9.0,9.0,0.0058101728
10.0,10.0,0.026203644
11.0,11.0,0.0019212097
12.0,12.0,0.015733287
13.0,13.0,0.15545654
14.0,14.0,0.037764374
15.0,15.0,0.011374641
16.0,16.0,0.018473858
17.0,17.0,0.010260628
18.0,18.0,0.045346115
19.0,19.0,0.018999262
20.0,20.0,0.029819906
21.0,21.0,5.0654507E-4
22.0,22.0,0.06441244
23.0,23.0,0.42612407
24.0,24.0,0.0026872186
25.0,25.0,0.002191979
26.0,26.0,0.0012261067
27.0,27.0,0.0048340545
28.0,28.0,0.004978261
29.0,29.0,0.028962385
30.0,30.0,0.008949122
31.0,31.0,0.005106952
32.0,32.0,0.014592729
33.0,33.0,0.04403627
34.0,34.0,0.045052946
35.0,35.0,0.41937345
36.0,36.0,0.015263727
37.0,37.0,0.029721426
38.0,38.0,0.0023264354
39.0,39.0,0.09442228
40.0,40.0,0.0135079725
41.0,41.0,0.09605396
42.0,42.0,0.052589286
43.0,43.0,0.3737305
44.0,44.0,0.053980146
45.0,45.0,0.030405296
46.0,46.0,0.21680151
47.0,47.0,0.007945815
48.0,48.0,0.46073058
49.0,49.0,0.03290565
50.0,50.0,0.007106172
51.0,51.0,1.8710224E-4
52.0,52.0,0.18239208
53.0,53.0,0.025470644
54.0,54.0,0.008598837
55.0,55.0,0.16845113
56.0,56.0,0.01800385
57.0,57.0,0.15307958
58.0,58.0,0.0027293377
59.0,59.0,0.039182592
60.0,60.0,0.040068362
61.0,61.0,0.0011918651
62.0,62.0,0.0036456976
63.0,63.0,0.093002215
64.0,64.0,0.005950879
65.0,65.0,0.016144112
66.0,66.0,0.010787076
67.0,67.0,0.0034937588
68.0,68.0,0.010129259
69.0,69.0,0.04905215
70.0,70.0,0.018326294
71.0,71.0,0.0056359507
72.0,72.0,0.019588822
73.0,73.0,0.0024173849
74.0,74.0,0.3002098
75.0,75.0,0.12238731
76.0,76.0,0.05037383
77.0,77.0,0.0034493736
78.0,78.0,0.11024362
79.0,79.0,0.07256868
80.0,80.0,0.008732883
81.0,81.0,0.022476666
82.0,82.0,0.13048862
83.0,83.0,0.9096153
