Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.26219E-8,0.000003262,0.000081442,1,0,0
3.73561E-8,0.000010458,0.000093261,0.9998076,0,0
4.85712E-8,0.000028997,0.000121258,0.999422799,0,0
5.5576E-8,0.000055473,0.000138744,0.998941799,0,0
6.99641E-8,0.000105043,0.000174661,0.998172198,0,0
9.40634E-8,0.000257806,0.000234816,0.996440596,0,0
1.1801E-7,0.000504641,0.000294586,0.994227994,0,0
1.59192E-7,0.001007079,0.000397368,0.990668591,0,0
2.6124E-7,0.002507628,0.000652013,0.983838384,0,0
3.79145E-7,0.005001924,0.000946146,0.976238576,0,0
4.91402E-7,0.010044173,0.001226107,0.965175565,0,0
6.72122E-7,0.025060761,0.001676647,0.94045214,0,0
8.89681E-7,0.050000911,0.00221876,0.90957191,0,0
1.30651E-6,0.100127332,0.00325659,0.865223665,0,0
1.98737E-6,0.200081623,0.004949488,0.806637807,0,0
2.5871E-6,0.300198041,0.006438271,0.764309764,0,0
3.15558E-6,0.40007299,0.00784743,0.730735931,0,0
3.7311E-6,0.500178627,0.009272003,0.702837903,0,0
4.38214E-6,0.600379904,0.010881035,0.679076479,0,0
4.95924E-6,0.700208557,0.012305166,0.658393458,0,0
5.15892E-6,0.750272829,0.012797435,0.648869649,0,0
5.41336E-6,0.800074936,0.013424365,0.63982684,0,0
5.83931E-6,0.900066394,0.014472975,0.622703223,0,0
6.34039E-6,1.000582298,0.015705106,0.606830207,0,0
6.71317E-6,1.10060054,0.016620773,0.592111592,0,0
7.14202E-6,1.200236175,0.017673103,0.578258778,0,0
7.55784E-6,1.300187761,0.018692385,0.565175565,0,0
7.9175E-6,1.40066119,0.019573153,0.552669553,0.005063291,0
8.36308E-6,1.500713349,0.020663217,0.540836941,0.007594937,0
9.61162E-6,1.75031777,0.023711237,0.514189514,0.010126582,0
1.08928E-5,2.000231294,0.026829036,0.490716691,0.012658228,0
1.19062E-5,2.250650266,0.029288236,0.46955267,0.015189873,0
1.31069E-5,2.50011491,0.032193719,0.45040885,0.017721519,0
1.44226E-5,2.750765093,0.035367669,0.432900433,0.017721519,0
1.5541E-5,3.000176874,0.038057424,0.416835017,0.020253165,0
1.67409E-5,3.25097798,0.040934763,0.401924002,0.02278481,0
1.82323E-5,3.500346462,0.044499144,0.388167388,0.02278481,0
1.95839E-5,3.750460405,0.047718034,0.375468975,0.025316456,0
2.04471E-5,4.00106987,0.049768157,0.363443963,0.025316456,0
2.18223E-5,4.250386064,0.053025057,0.352092352,0.025316456,0
2.32041E-5,4.502318274,0.056286517,0.341317941,0.030379747,0
2.45019E-5,4.751863035,0.05933929,0.331216931,0.030379747,0
2.57742E-5,5.000885983,0.062322492,0.321693122,0.032911392,0
2.73302E-5,5.25017993,0.065958119,0.312650313,0.032911392,0
2.8619E-5,5.502134514,0.068958782,0.303992304,0.035443038,0
2.97561E-5,5.750233127,0.071598075,0.295815296,0.035443038,0
3.0996E-5,6.002849066,0.074467775,0.287830688,0.035443038,0
3.27096E-5,6.250382776,0.078418895,0.28032708,0.035443038,0
3.40637E-5,6.501236485,0.081529344,0.273112073,0.035443038,0
3.55982E-5,6.752405416,0.085041203,0.266185666,0.035443038,0
3.71249E-5,7.003655859,0.088522105,0.25954786,0.035443038,0
3.9036E-5,7.251090322,0.092860714,0.253294853,0.037974684,0
4.11088E-5,7.503265395,0.097543081,0.247234247,0.037974684,0
4.33169E-5,7.752194541,0.102504587,0.241558442,0.037974684,0
4.54981E-5,8.000554384,0.107378784,0.236171236,0.037974684,0
4.76129E-5,8.25126693,0.11207928,0.230976431,0.037974684,0
4.97397E-5,8.500161919,0.116781652,0.226070226,0.040506329,0
5.19591E-5,8.754583204,0.121662032,0.221260221,0.040506329,0
5.46727E-5,9.001001014,0.127592504,0.216835017,0.043037975,0
5.84065E-5,9.255081901,0.135687326,0.212506013,0.043037975,0
6.21402E-5,9.50369674,0.143706728,0.208561809,0.050632911,0
6.51137E-5,9.751517956,0.15004024,0.204810005,0.050632911,0
6.87545E-5,10.005418667,0.157731268,0.201154401,0.050632911,0
7.27144E-5,10.253425642,0.166017184,0.197787398,0.058227848,0
7.74442E-5,10.501233557,0.175807454,0.194612795,0.060759494,0
8.0657E-5,10.754082925,0.182392077,0.191534392,0.060759494,0
8.51006E-5,11.00249334,0.191412617,0.188648389,0.060759494,0
8.99358E-5,11.256585948,0.201115086,0.185858586,0.065822785,0
9.32398E-5,11.504214347,0.207677972,0.183261183,0.070886076,0
9.66521E-5,11.750759918,0.214399324,0.180759981,0.070886076,0
9.91537E-5,12.005026205,0.219290594,0.178258778,0.075949367,0
1.02611E-4,12.258195935,0.22600029,0.175853776,0.078481013,0
1.0671E-4,12.509778727,0.233880478,0.173544974,0.083544304,0
1.10883E-4,12.760203879,0.241821472,0.171332371,0.083544304,0
1.1489E-4,13.008651294,0.249367809,0.169215969,0.083544304,0
1.18208E-4,13.252583665,0.255560801,0.167195767,0.088607595,0
1.21676E-4,13.504902181,0.261978465,0.165175565,0.091139241,0
1.24676E-4,13.750831297,0.267485226,0.163251563,0.101265823,0
1.2735E-4,14.002842444,0.272359867,0.161327561,0.101265823,0
1.32852E-4,14.262775012,0.282286622,0.159403559,0.108860759,0
1.36718E-4,14.505982376,0.289180932,0.157671958,0.108860759,0
1.40855E-4,14.75634656,0.296485574,0.155940356,0.108860759,0
1.44708E-4,15.013819816,0.303220661,0.154208754,0.108860759,0
1.50195E-4,15.250575654,0.312700389,0.152669553,0.108860759,0
1.53717E-4,15.50975192,0.318716671,0.151034151,0.108860759,0
1.55754E-4,15.757245006,0.322173752,0.149494949,0.108860759,0
1.59269E-4,16.010206952,0.328095343,0.147955748,0.108860759,0
1.62965E-4,16.252270637,0.334267994,0.146512747,0.108860759,0
1.67037E-4,16.500647633,0.341000265,0.145069745,0.108860759,0
1.71044E-4,16.754355621,0.347560164,0.143626744,0.113924051,0
1.75308E-4,17.014639886,0.354469286,0.142183742,0.116455696,0
1.78373E-4,17.261757476,0.359391152,0.140836941,0.116455696,0
1.84514E-4,17.516159999,0.369137546,0.139490139,0.118987342,0
1.8863E-4,17.75884764,0.375587176,0.138239538,0.121518987,0
1.91022E-4,18.0060247,0.37930423,0.136988937,0.124050633,0
1.97521E-4,18.258916199,0.389295552,0.135738336,0.129113924,0
2.04794E-4,18.500770038,0.400284106,0.134583935,0.129113924,0
2.07769E-4,18.769197527,0.404721568,0.133333333,0.13164557,0
2.1169E-4,19.021100256,0.410521488,0.132178932,0.134177215,0
2.15544E-4,19.255729727,0.416165591,0.131120731,0.134177215,0
2.1965E-4,19.517200281,0.422119677,0.12996633,0.139240506,0
2.25846E-4,19.762716008,0.430990661,0.128908129,0.139240506,0
2.29217E-4,20.012717067,0.435759255,0.127849928,0.139240506,0
2.36577E-4,20.268284543,0.446032958,0.126791727,0.144303797,0
2.41775E-4,20.507794288,0.453176497,0.125829726,0.149367089,0
2.45519E-4,20.752064073,0.458263256,0.124867725,0.15443038,0
2.49656E-4,21.024595102,0.463829947,0.123809524,0.162025316,0
2.54812E-4,21.251452584,0.470687228,0.122943723,0.164556962,0
2.59522E-4,21.509113704,0.476876266,0.121981722,0.169620253,0
2.63966E-4,21.771238937,0.48264713,0.121019721,0.174683544,0
2.67151E-4,22.010707546,0.486745638,0.12015392,0.174683544,0
2.73123E-4,22.253938381,0.49434094,0.119288119,0.179746835,0
2.76943E-4,22.502057861,0.499140402,0.118422318,0.184810127,0
2.79687E-4,22.752654208,0.502560582,0.117556518,0.189873418,0
2.8361E-4,23.006591806,0.507409167,0.116690717,0.192405063,0
2.86501E-4,23.263372992,0.510951899,0.115824916,0.194936709,0
2.91473E-4,23.523469679,0.516984751,0.114959115,0.197468354,0
2.94322E-4,23.758200837,0.520408329,0.114189514,0.202531646,0
3.01069E-4,24.025373359,0.528419608,0.113323713,0.205063291,0
3.06277E-4,24.267987711,0.534510565,0.112554113,0.205063291,0
3.12918E-4,24.51563309,0.542165868,0.111784512,0.205063291,0
3.15669E-4,24.767346753,0.545299347,0.111014911,0.215189873,0
3.17305E-4,25.020683702,0.547152115,0.11024531,0.217721519,0
3.27601E-4,25.280226923,0.558644777,0.109475709,0.217721519,0
3.29827E-4,25.510612894,0.561091234,0.108802309,0.22278481,0
3.3156E-4,25.775061968,0.562985537,0.108032708,0.22278481,0
3.32875E-4,26.007501003,0.564418213,0.107359307,0.22278481,0
3.39413E-4,26.277835135,0.571470256,0.106589707,0.225316456,0
3.4249E-4,26.516351905,0.574749761,0.105916306,0.227848101,0
3.43768E-4,26.75655879,0.576105087,0.105242905,0.230379747,0
3.49201E-4,27.033091264,0.581816021,0.104473304,0.230379747,0
3.54018E-4,27.279385945,0.586815079,0.103799904,0.230379747,0
3.55377E-4,27.52769948,0.588214448,0.103126503,0.232911392,0
