Predictor variable,Categorical,Sample average
bio_1,false,243.08354430379748
bio_10,false,256.8632911392405
bio_11,false,224.1493670886076
bio_12,false,1315.8556962025316
bio_13,false,198.29873417721518
bio_14,false,43.46582278481013
bio_15,false,51.017721518987344
bio_16,false,576.2253164556962
bio_17,false,140.38987341772153
bio_18,false,331.94430379746836
bio_19,false,344.53164556962025
bio_2,false,56.220253164556965
bio_3,false,57.2253164556962
bio_4,false,1204.040506329114
bio_5,false,291.44303797468353
bio_6,false,195.10379746835443
bio_7,false,95.87594936708861
bio_8,false,242.89113924050633
bio_9,false,240.9518987341772
